index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
0,20220923_153305,1663972386,1663972388,40,40,40,2.25,-11.042,9.076,42.25,28.958,49.076,-1.98E+01,1.70E+02,-4.77E+01,8.41E-03,5.90E-03,1.77E-02
1,20220923_153315,1663972395,1663972398,40,40,80,2.25,-11.042,9.076,42.25,28.958,89.076,-1.74E+01,1.79E+02,-5.29E+01,2.93E-02,4.04E-03,1.08E-02
2,20220923_153323,1663972404,1663972406,40,40,120,2.25,-11.042,9.076,42.25,28.958,129.076,-1.38E+01,1.90E+02,-5.25E+01,1.50E-02,6.94E-03,1.70E-02
3,20220923_153334,1663972414,1663972416,40,40,160,2.25,-11.042,9.076,42.25,28.958,169.076,-6.81E+00,1.99E+02,-4.71E+01,2.07E-02,9.76E-03,5.65E-02
4,20220923_153401,1663972442,1663972444,40,40,200,2.25,-11.042,9.076,42.25,28.958,209.076,-5.33E-01,2.03E+02,-4.11E+01,3.53E-02,7.07E-03,8.35E-02
5,20220923_153457,1663972497,1663972500,0,40,40,2.25,-11.042,9.076,2.25,28.958,49.076,-2.42E+01,1.70E+02,-4.21E+01,8.04E-03,1.52E-03,8.04E-03
6,20220923_153506,1663972506,1663972508,0,40,80,2.25,-11.042,9.076,2.25,28.958,89.076,-2.21E+01,1.84E+02,-4.65E+01,4.64E-02,2.57E-02,1.20E-01
7,20220923_153513,1663972514,1663972516,0,40,120,2.25,-11.042,9.076,2.25,28.958,129.076,-1.59E+01,1.96E+02,-4.66E+01,1.49E-02,1.53E-02,9.47E-02
8,20220923_153524,1663972524,1663972527,0,40,160,2.25,-11.042,9.076,2.25,28.958,169.076,-8.75E+00,2.06E+02,-4.22E+01,3.74E-02,5.48E-03,1.78E-02
9,20220923_153534,1663972535,1663972537,0,40,200,2.25,-11.042,9.076,2.25,28.958,209.076,-1.85E+00,2.10E+02,-3.77E+01,1.79E-02,5.48E-03,4.36E-02
10,20220923_153712,1663972632,1663972635,-40,40,40,2.25,-11.042,9.076,-37.75,28.958,49.076,-3.55E+01,1.72E+02,-3.75E+01,4.66E-02,1.76E-02,1.41E-01
11,20220923_153721,1663972641,1663972644,-40,40,80,2.25,-11.042,9.076,-37.75,28.958,89.076,-2.96E+01,1.90E+02,-4.21E+01,4.80E-02,1.08E-02,3.93E-02
12,20220923_153733,1663972653,1663972656,-40,40,120,2.25,-11.042,9.076,-37.75,28.958,129.076,-2.23E+01,2.04E+02,-4.00E+01,3.78E-02,8.94E-03,5.45E-02
13,20220923_153743,1663972663,1663972666,-40,40,160,2.25,-11.042,9.076,-37.75,28.958,169.076,-1.41E+01,2.13E+02,-3.90E+01,1.18E-01,1.10E-02,4.52E-02
14,20220923_153754,1663972675,1663972677,-40,40,200,2.25,-11.042,9.076,-37.75,28.958,209.076,-3.95E+00,2.18E+02,-3.49E+01,4.38E-01,1.14E-02,7.22E-02
15,20220923_155045,1663973445,1663973448,-80,40,40,2.25,-11.042,9.076,-77.75,28.958,49.076,-5.30E+01,1.76E+02,-3.69E+01,1.08E-02,2.86E-02,7.84E-02
16,20220923_155055,1663973456,1663973458,-80,40,80,2.25,-11.042,9.076,-77.75,28.958,89.076,-4.46E+01,1.99E+02,-4.00E+01,6.72E-02,5.02E-03,3.42E-02
17,20220923_155105,1663973465,1663973468,-80,40,120,2.25,-11.042,9.076,-77.75,28.958,129.076,-3.22E+01,2.14E+02,-3.82E+01,4.63E-02,1.14E-02,1.79E-01
18,20220923_155115,1663973476,1663973478,-80,40,160,2.25,-11.042,9.076,-77.75,28.958,169.076,-2.21E+01,2.23E+02,-3.52E+01,4.27E-02,1.00E-02,3.79E-02
19,20220923_155125,1663973485,1663973488,-80,40,200,2.25,-11.042,9.076,-77.75,28.958,209.076,-1.14E+01,2.28E+02,-3.21E+01,1.86E-02,2.51E-02,1.87E-01
20,20220923_155319,1663973599,1663973602,-80,80,40,2.25,-11.042,9.076,-77.75,68.958,49.076,-5.09E+01,1.83E+02,-2.91E+01,1.19E-02,1.22E-02,2.84E-02
21,20220923_155329,1663973610,1663973612,-80,80,80,2.25,-11.042,9.076,-77.75,68.958,89.076,-4.29E+01,2.00E+02,-3.51E+01,2.72E-02,1.34E-02,5.22E-02
22,20220923_155340,1663973620,1663973622,-80,80,120,2.25,-11.042,9.076,-77.75,68.958,129.076,-3.32E+01,2.12E+02,-3.63E+01,2.61E-02,5.48E-03,6.07E-02
23,20220923_155349,1663973630,1663973632,-80,80,160,2.25,-11.042,9.076,-77.75,68.958,169.076,-2.23E+01,2.20E+02,-3.45E+01,5.37E-02,1.22E-02,2.92E-02
