INDEX,Datetime,UNIX_time,LV_time,FG1x,FG2x,FG3x,FG1y,FG2y,FG3y,FG1z,FG2z,FG3z
0,20220923_153207,1663972327.609687800,3746817127.609687800,11.95028,97.98543,29.91914,-163.61309,-185.11547,-359.08127,60.85581,92.42824,3.49846
1,20220923_153208,1663972328.109122280,3746817128.109122280,11.95422,97.98889,29.92456,-163.61248,-185.11176,-359.08065,60.85901,92.42836,3.50536
2,20220923_153208,1663972328.609807010,3746817128.609807010,11.96433,97.98309,29.92665,-163.61519,-185.11806,-359.07006,60.85975,92.42960,3.49871
3,20220923_153209,1663972329.110038280,3746817129.110038280,11.91639,97.98617,29.91926,-163.63701,-185.11152,-359.07586,60.85507,92.42984,3.50426
4,20220923_153209,1663972329.609268190,3746817129.609268190,11.91380,97.98309,29.91482,-163.63775,-185.11621,-359.07648,60.85655,92.42528,3.50623
5,20220923_153210,1663972330.109126570,3746817130.109126570,11.91996,97.98063,29.91569,-163.63676,-185.11337,-359.07462,60.86049,92.42676,3.50598
6,20220923_153210,1663972330.609660150,3746817130.609660150,11.90320,97.98124,29.92025,-163.64574,-185.11510,-359.07400,60.84533,92.42787,3.50610
7,20220923_153211,1663972331.110011100,3746817131.110011100,11.89963,97.98470,29.91754,-163.64673,-185.12384,-359.07757,60.84620,92.42886,3.50623
8,20220923_153211,1663972331.609460830,3746817131.609460830,11.89827,97.97989,29.91445,-163.65130,-185.11903,-359.07474,60.84262,92.42960,3.50093
9,20220923_153212,1663972332.110571860,3746817132.110571860,11.90086,97.97964,29.91864,-163.65093,-185.12199,-359.07807,60.84201,92.43095,3.50512
10,20220923_153212,1663972332.610828880,3746817132.610828880,11.90012,97.98334,29.91914,-163.65117,-185.12150,-359.08127,60.84065,92.42688,3.50179
11,20220923_153213,1663972333.110982420,3746817133.110982420,11.90407,97.98470,29.92173,-163.65449,-185.12088,-359.07795,60.84324,92.42651,3.50241
12,20220923_153213,1663972333.610157010,3746817133.610157010,11.89100,97.97977,29.91901,-163.65142,-185.12014,-359.08139,60.84336,92.42886,3.50820
13,20220923_153214,1663972334.110324860,3746817134.110324860,11.89667,97.97903,29.91692,-163.65869,-185.11953,-359.08165,60.84299,92.42910,3.50561
14,20220923_153214,1663972334.611032010,3746817134.611032010,11.90086,97.98112,29.91680,-163.64710,-185.12027,-359.07905,60.84472,92.42910,3.50450
15,20220923_153215,1663972335.110819340,3746817135.110819340,11.89840,97.97952,29.91790,-163.64957,-185.12014,-359.07955,60.83868,92.43391,3.50450
16,20220923_153215,1663972335.611963270,3746817135.611963270,11.90062,97.97940,29.92012,-163.65499,-185.12545,-359.08005,60.84361,92.43181,3.50610
