INDEX,Datetime,UNIX_time,LV_time,FG1x,FG2x,FG3x,FG1y,FG2y,FG3y,FG1z,FG2z,FG3z
0,20220923_165751,1663977471.836383340,3746822271.836383340,11.59266,90.60032,27.44437,-163.76872,-187.01122,-362.24685,61.63329,81.10436,9.31309
1,20220923_165752,1663977472.336264610,3746822272.336264610,11.59290,90.59527,27.44252,-163.76145,-187.01984,-362.24108,61.63772,81.10645,9.31630
2,20220923_165752,1663977472.836731430,3746822272.836731430,11.59007,90.59281,27.44141,-163.76379,-187.01738,-362.24353,61.63686,81.10608,9.31494
3,20220923_165753,1663977473.336706640,3746822273.336706640,11.58933,90.58973,27.44178,-163.76108,-187.01947,-362.24353,61.63070,81.10534,9.31580
4,20220923_165753,1663977473.836443420,3746822273.836443420,11.58995,90.59774,27.44462,-163.76231,-187.01344,-362.24341,61.63316,81.10399,9.31506
5,20220923_165754,1663977474.336285590,3746822274.336285590,11.59598,90.59983,27.44326,-163.76404,-187.01910,-362.24611,61.63292,81.10362,9.31223
6,20220923_165754,1663977474.836873530,3746822274.836873530,11.59487,90.59466,27.44647,-163.76021,-187.02304,-362.23984,61.63599,81.10670,9.32110
7,20220923_165755,1663977475.336686610,3746822275.336686610,11.59364,90.59724,27.43500,-163.76650,-187.01947,-362.24637,61.63403,81.10214,9.31580
8,20220923_165755,1663977475.836714270,3746822275.836714270,11.59660,90.59712,27.44080,-163.76330,-187.02120,-362.24785,61.63575,81.10251,9.30890
9,20220923_165756,1663977476.336711410,3746822276.336711410,11.59167,90.59995,27.43451,-163.76662,-187.01553,-362.24477,61.63464,81.10436,9.31100
10,20220923_165756,1663977476.837101460,3746822276.837101460,11.59179,90.60205,27.43821,-163.76219,-187.02021,-362.24673,61.63180,81.10707,9.32233
11,20220923_165757,1663977477.337662220,3746822277.337662220,11.59463,90.59786,27.44388,-163.76256,-187.01812,-362.24551,61.63551,81.10707,9.31013
12,20220923_165757,1663977477.837736610,3746822277.837736610,11.58884,90.59675,27.44733,-163.76699,-187.01701,-362.24895,61.63822,81.10546,9.31630
13,20220923_165758,1663977478.337662220,3746822278.337662220,11.59401,90.59552,27.44326,-163.76662,-187.01516,-362.24759,61.63599,81.10251,9.31839
14,20220923_165758,1663977478.837710380,3746822278.837710380,11.59500,90.59478,27.44215,-163.76330,-187.02046,-362.24241,61.63785,81.10682,9.30656
15,20220923_165759,1663977479.337662220,3746822279.337662220,11.59611,90.59589,27.44597,-163.76108,-187.01935,-362.24315,61.63599,81.09881,9.31531
16,20220923_165759,1663977479.837772850,3746822279.837772840,11.59081,90.59256,27.43809,-163.75701,-187.02341,-362.24451,61.63957,81.10386,9.31149
17,20220923_165800,1663977480.337766170,3746822280.337766170,11.59598,90.59663,27.44215,-163.76169,-187.02046,-362.24389,61.63390,81.10941,9.31901
18,20220923_165800,1663977480.837979320,3746822280.837979320,11.60264,90.59502,27.44326,-163.76317,-187.02415,-362.24070,61.63797,81.10448,9.30865
