index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
0,20220923_170320,1663977800.785960200,1663977803.293158530,40.000000,0.000,40.000,-2.250000,11.367,8.442,37.750000,11.367,48.442,-8.240880E+1,1.867240E+2,-7.588300E+1,9.744332E-2,2.701851E-2,2.115313E-1
1,20220923_170330,1663977810.914449690,1663977812.994532110,40.000000,0.000,80.000,-2.250000,11.367,8.442,37.750000,11.367,88.442,-6.336580E+1,2.208540E+2,-5.799640E+1,3.581480E-2,5.477226E-3,1.962906E-2
2,20220923_170340,1663977820.696616650,1663977822.777859210,40.000000,0.000,120.000,-2.250000,11.367,8.442,37.750000,11.367,128.442,-4.361820E+1,2.347800E+2,-4.603360E+1,6.661606E-2,3.177644E-14,1.793878E-2
3,20220923_170349,1663977829.459440230,1663977831.540622230,40.000000,0.000,160.000,-2.250000,11.367,8.442,37.750000,11.367,168.442,-2.894860E+1,2.416260E+2,-3.924060E+1,1.594798E-1,3.646917E-2,2.812117E-2
4,20220923_170358,1663977838.825881000,1663977841.319799900,40.000000,0.000,200.000,-2.250000,11.367,8.442,37.750000,11.367,208.442,-1.426196E+1,2.449620E+2,-3.301180E+1,9.042521E-2,8.366600E-3,1.000560E-1
5,20220923_170519,1663977919.771667960,1663977922.289706230,0.000000,0.000,40.000,-2.250000,11.367,8.442,-2.250000,11.367,48.442,-9.087460E+1,2.028400E+2,-8.965280E+1,4.289872E-2,3.316625E-2,1.531884E-1
6,20220923_170527,1663977927.923463340,1663977930.004645820,0.000000,0.000,80.000,-2.250000,11.367,8.442,-2.250000,11.367,88.442,-7.190560E+1,2.409640E+2,-6.649000E+1,4.817987E-2,8.944272E-3,2.633439E-2
7,20220923_170538,1663977938.699033740,1663977940.779424190,0.000000,0.000,120.000,-2.250000,11.367,8.442,-2.250000,11.367,128.442,-5.337020E+1,2.526520E+2,-4.911280E+1,4.727790E-2,4.472136E-3,5.277973E-2
8,20220923_170547,1663977947.602203370,1663977949.683671000,0.000000,0.000,160.000,-2.250000,11.367,8.442,-2.250000,11.367,168.442,-3.537120E+1,2.575280E+2,-4.016440E+1,1.180199E-1,8.366600E-3,5.046088E-2
9,20220923_170554,1663977954.962508200,1663977957.042937760,0.000000,0.000,200.000,-2.250000,11.367,8.442,-2.250000,11.367,208.442,-1.972120E+1,2.593680E+2,-3.286600E+1,8.972569E-2,1.483240E-2,4.496109E-2
