index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
0,20220923_170320,1663977801,1663977803,40,0,40,2.25,-11.042,9.076,42.25,-11.042,49.076,-8.24E+01,1.87E+02,-7.59E+01,9.74E-02,2.70E-02,2.12E-01
1,20220923_170330,1663977811,1663977813,40,0,80,2.25,-11.042,9.076,42.25,-11.042,89.076,-6.34E+01,2.21E+02,-5.80E+01,3.58E-02,5.48E-03,1.96E-02
2,20220923_170340,1663977821,1663977823,40,0,120,2.25,-11.042,9.076,42.25,-11.042,129.076,-4.36E+01,2.35E+02,-4.60E+01,6.66E-02,3.18E-14,1.79E-02
3,20220923_170349,1663977829,1663977832,40,0,160,2.25,-11.042,9.076,42.25,-11.042,169.076,-2.89E+01,2.42E+02,-3.92E+01,1.59E-01,3.65E-02,2.81E-02
4,20220923_170358,1663977839,1663977841,40,0,200,2.25,-11.042,9.076,42.25,-11.042,209.076,-1.43E+01,2.45E+02,-3.30E+01,9.04E-02,8.37E-03,1.00E-01
5,20220923_170519,1663977920,1663977922,0,0,40,2.25,-11.042,9.076,2.25,-11.042,49.076,-9.09E+01,2.03E+02,-8.97E+01,4.29E-02,3.32E-02,1.53E-01
6,20220923_170527,1663977928,1663977930,0,0,80,2.25,-11.042,9.076,2.25,-11.042,89.076,-7.19E+01,2.41E+02,-6.65E+01,4.82E-02,8.94E-03,2.63E-02
7,20220923_170538,1663977939,1663977941,0,0,120,2.25,-11.042,9.076,2.25,-11.042,129.076,-5.34E+01,2.53E+02,-4.91E+01,4.73E-02,4.47E-03,5.28E-02
8,20220923_170547,1663977948,1663977950,0,0,160,2.25,-11.042,9.076,2.25,-11.042,169.076,-3.54E+01,2.58E+02,-4.02E+01,1.18E-01,8.37E-03,5.05E-02
9,20220923_170554,1663977955,1663977957,0,0,200,2.25,-11.042,9.076,2.25,-11.042,209.076,-1.97E+01,2.59E+02,-3.29E+01,8.97E-02,1.48E-02,4.50E-02
10,20220923_170746,1663978066,1663978069,-40,0,40,2.25,-11.042,9.076,-37.75,-11.042,49.076,-1.05E+02,2.25E+02,-1.08E+02,6.99E-02,1.92E-02,4.41E-02
11,20220923_170756,1663978076,1663978079,-40,0,80,2.25,-11.042,9.076,-37.75,-11.042,89.076,-8.21E+01,2.62E+02,-7.62E+01,4.52E-02,4.47E-03,2.79E-02
12,20220923_170805,1663978086,1663978088,-40,0,120,2.25,-11.042,9.076,-37.75,-11.042,129.076,-5.93E+01,2.72E+02,-5.56E+01,9.68E-02,4.47E-03,2.79E-02
13,20220923_170815,1663978095,1663978097,-40,0,160,2.25,-11.042,9.076,-37.75,-11.042,169.076,-4.17E+01,2.74E+02,-4.35E+01,5.50E-02,8.37E-03,8.70E-02
14,20220923_170823,1663978103,1663978105,-40,0,200,2.25,-11.042,9.076,-37.75,-11.042,209.076,-2.42E+01,2.76E+02,-3.55E+01,4.07E-01,4.97E-02,5.50E-01
15,20220923_170950,1663978191,1663978193,-40,40,40,2.25,-11.042,9.076,-37.75,28.958,49.076,-9.27E+01,2.17E+02,-6.35E+01,4.16E-02,2.28E-02,1.49E-02
16,20220923_170959,1663978199,1663978201,-40,40,80,2.25,-11.042,9.076,-37.75,28.958,89.076,-7.39E+01,2.45E+02,-5.81E+01,6.83E-01,1.94E-01,2.47E-01
