index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
0,20220926_164815,1664236095.559828760,1664236098.067322250,40.000000,-26.500,40.000,-2.250000,11.367,8.442,37.750000,-15.133,48.442,-5.854500E+1,2.723600E+2,1.970580E+1,1.122497E-2,0.000000E+0,8.105554E-3
1,20220926_164829,1664236109.050750260,1664236111.543886180,40.000000,-26.500,80.000,-2.250000,11.367,8.442,37.750000,-15.133,88.442,-3.899360E+1,2.588240E+2,1.351782E+1,3.777962E-2,1.516575E-2,9.879624E-2
2,20220926_164839,1664236119.965181830,1664236122.458427430,40.000000,-26.500,120.000,-2.250000,11.367,8.442,37.750000,-15.133,128.442,-1.512050E+1,2.546360E+2,3.512940E+0,3.452441E-2,4.615192E-2,1.981583E-1
3,20220926_164923,1664236163.766731260,1664236166.284970280,40.000000,-26.500,60.000,-2.250000,11.367,8.442,37.750000,-15.133,68.442,-4.876380E+1,2.639300E+2,1.984810E+1,8.927486E-3,7.071068E-3,5.093393E-2
4,20220926_164944,1664236184.052566530,1664236186.133518220,40.000000,-26.500,100.000,-2.250000,11.367,8.442,37.750000,-15.133,108.442,-2.703000E+1,2.562820E+2,8.224380E+0,5.733236E-2,1.095445E-2,2.850775E-2
5,20220926_165023,1664236223.510787010,1664236225.591993810,20.000000,-26.500,40.000,-2.250000,11.367,8.442,17.750000,-15.133,48.442,-5.794920E+1,2.784940E+2,8.007340E+0,1.402498E-2,5.477226E-3,6.253785E-2
6,20220926_165033,1664236233.897675040,1664236235.977704050,20.000000,-26.500,60.000,-2.250000,11.367,8.442,17.750000,-15.133,68.442,-5.120380E+1,2.731600E+2,9.067660E+0,8.613942E-3,0.000000E+0,2.204060E-2
7,20220926_165042,1664236242.745598320,1664236244.826447010,20.000000,-26.500,80.000,-2.250000,11.367,8.442,17.750000,-15.133,88.442,-4.198720E+1,2.697300E+2,5.329220E+0,1.473771E-2,0.000000E+0,1.319591E-2
8,20220926_165052,1664236252.128680710,1664236254.208728790,20.000000,-26.500,100.000,-2.250000,11.367,8.442,17.750000,-15.133,108.442,-3.044920E+1,2.674780E+2,2.311820E+0,2.420124E-2,4.472136E-3,2.550955E-2
9,20220926_165102,1664236262.969552040,1664236265.050245760,20.000000,-26.500,120.000,-2.250000,11.367,8.442,17.750000,-15.133,128.442,-1.822540E+1,2.656300E+2,9.886000E-2,1.163185E-2,0.000000E+0,1.414754E-2
10,20220926_165140,1664236300.318093780,1664236302.399232860,0.000000,-26.500,40.000,-2.250000,11.367,8.442,-2.250000,-15.133,48.442,-5.955040E+1,2.815680E+2,1.744000E+0,2.013206E-2,4.472136E-3,1.362039E-2
11,20220926_165151,1664236311.039907930,1664236313.120563980,0.000000,-26.500,60.000,-2.250000,11.367,8.442,-2.250000,-15.133,68.442,-5.591280E+1,2.799140E+2,7.847400E-1,1.497331E-2,5.477226E-3,1.611980E-2
12,20220926_165159,1664236319.888854980,1664236321.969324110,0.000000,-26.500,80.000,-2.250000,11.367,8.442,-2.250000,-15.133,88.442,-4.880220E+1,2.795240E+2,-1.444560E+0,2.089737E-2,5.477226E-3,1.411737E-1
13,20220926_165212,1664236332.022759440,1664236334.102583410,0.000000,-26.500,100.000,-2.250000,11.367,8.442,-2.250000,-15.133,108.442,-3.721400E+1,2.797840E+2,-2.191260E+0,7.314369E-3,5.477226E-3,5.551223E-2
14,20220926_165223,1664236343.094287870,1664236345.174884800,0.000000,-26.500,120.000,-2.250000,11.367,8.442,-2.250000,-15.133,128.442,-2.331000E+1,2.790080E+2,-1.511440E+0,1.764936E-2,4.472136E-3,6.552986E-2
15,20220926_165313,1664236393.213627340,1664236395.294569490,-20.000000,-26.500,40.000,-2.250000,11.367,8.442,-22.250000,-15.133,48.442,-6.166600E+1,2.827240E+2,1.266760E+0,6.123724E-3,5.477226E-3,1.320153E-1
16,20220926_165418,1664236458.627411360,1664236460.708325390,-20.000000,-26.500,80.000,-2.250000,11.367,8.442,-22.250000,-15.133,88.442,-5.403080E+1,2.883580E+2,-5.162660E+0,1.755563E-2,4.472136E-3,2.763138E-2
17,20220926_165432,1664236472.075105670,1664236474.156105520,-20.000000,-26.500,100.000,-2.250000,11.367,8.442,-22.250000,-15.133,108.442,-4.365140E+1,2.929540E+2,-3.189580E+0,4.910499E-2,5.477226E-3,1.766340E-1
18,20220926_165442,1664236482.581243040,1664236484.661857600,-20.000000,-26.500,120.000,-2.250000,11.367,8.442,-22.250000,-15.133,128.442,-2.741720E+1,2.951280E+2,-1.020300E+0,2.046216E-2,8.366600E-3,5.649686E-2
19,20220926_165934,1664236774.276573660,1664236776.356361390,-40.000000,-26.500,40.000,-2.250000,11.367,8.442,-42.250000,-15.133,48.442,-6.627000E+1,2.834760E+2,3.046440E+0,2.880972E-2,5.477226E-3,1.192384E-2
20,20220926_165945,1664236785.894023420,1664236787.973516940,-40.000000,-26.500,60.000,-2.250000,11.367,8.442,-42.250000,-15.133,68.442,-6.444620E+1,2.858220E+2,-8.749500E+0,1.362718E-2,4.472136E-3,1.227391E-1
21,20220926_165959,1664236799.706676010,1664236801.787146570,-40.000000,-26.500,80.000,-2.250000,11.367,8.442,-42.250000,-15.133,88.442,-5.904380E+1,2.967960E+2,-1.147132E+1,9.736889E-2,2.073644E-2,7.605542E-2
22,20220926_170011,1664236811.158141610,1664236813.237802500,-40.000000,-26.500,100.000,-2.250000,11.367,8.442,-42.250000,-15.133,108.442,-4.675900E+1,3.090120E+2,-4.027400E+0,4.047839E-2,1.483240E-2,5.831784E-2
