index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
0,20220926_164815,1664236096,1664236098,40,-26.5,40,-1.35,-11.542,7.776,38.65,-38.042,47.776,-5.85E+01,2.72E+02,1.97E+01,1.12E-02,0.00E+00,8.11E-03
1,20220926_164829,1664236109,1664236112,40,-26.5,80,-1.35,-11.542,7.776,38.65,-38.042,87.776,-3.90E+01,2.59E+02,1.35E+01,3.78E-02,1.52E-02,9.88E-02
2,20220926_164839,1664236120,1664236122,40,-26.5,120,-1.35,-11.542,7.776,38.65,-38.042,127.776,-1.51E+01,2.55E+02,3.51E+00,3.45E-02,4.62E-02,1.98E-01
3,20220926_164923,1664236164,1664236166,40,-26.5,60,-1.35,-11.542,7.776,38.65,-38.042,67.776,-4.88E+01,2.64E+02,1.98E+01,8.93E-03,7.07E-03,5.09E-02
4,20220926_164944,1664236184,1664236186,40,-26.5,100,-1.35,-11.542,7.776,38.65,-38.042,107.776,-2.70E+01,2.56E+02,8.22E+00,5.73E-02,1.10E-02,2.85E-02
5,20220926_165023,1664236224,1664236226,20,-26.5,40,-1.35,-11.542,7.776,18.65,-38.042,47.776,-5.79E+01,2.78E+02,8.01E+00,1.40E-02,5.48E-03,6.25E-02
6,20220926_165033,1664236234,1664236236,20,-26.5,60,-1.35,-11.542,7.776,18.65,-38.042,67.776,-5.12E+01,2.73E+02,9.07E+00,8.61E-03,0.00E+00,2.20E-02
7,20220926_165042,1664236243,1664236245,20,-26.5,80,-1.35,-11.542,7.776,18.65,-38.042,87.776,-4.20E+01,2.70E+02,5.33E+00,1.47E-02,0.00E+00,1.32E-02
8,20220926_165052,1664236252,1664236254,20,-26.5,100,-1.35,-11.542,7.776,18.65,-38.042,107.776,-3.04E+01,2.67E+02,2.31E+00,2.42E-02,4.47E-03,2.55E-02
9,20220926_165102,1664236263,1664236265,20,-26.5,120,-1.35,-11.542,7.776,18.65,-38.042,127.776,-1.82E+01,2.66E+02,9.89E-02,1.16E-02,0.00E+00,1.41E-02
10,20220926_165140,1664236300,1664236302,0,-26.5,40,-1.35,-11.542,7.776,-1.35,-38.042,47.776,-5.96E+01,2.82E+02,1.74E+00,2.01E-02,4.47E-03,1.36E-02
11,20220926_165151,1664236311,1664236313,0,-26.5,60,-1.35,-11.542,7.776,-1.35,-38.042,67.776,-5.59E+01,2.80E+02,7.85E-01,1.50E-02,5.48E-03,1.61E-02
12,20220926_165159,1664236320,1664236322,0,-26.5,80,-1.35,-11.542,7.776,-1.35,-38.042,87.776,-4.88E+01,2.80E+02,-1.44E+00,2.09E-02,5.48E-03,1.41E-01
13,20220926_165212,1664236332,1664236334,0,-26.5,100,-1.35,-11.542,7.776,-1.35,-38.042,107.776,-3.72E+01,2.80E+02,-2.19E+00,7.31E-03,5.48E-03,5.55E-02
14,20220926_165223,1664236343,1664236345,0,-26.5,120,-1.35,-11.542,7.776,-1.35,-38.042,127.776,-2.33E+01,2.79E+02,-1.51E+00,1.76E-02,4.47E-03,6.55E-02
15,20220926_165313,1664236393,1664236395,-20,-26.5,40,-1.35,-11.542,7.776,-21.35,-38.042,47.776,-6.17E+01,2.83E+02,1.27E+00,6.12E-03,5.48E-03,1.32E-01
16,20220926_165418,1664236459,1664236461,-20,-26.5,80,-1.35,-11.542,7.776,-21.35,-38.042,87.776,-5.40E+01,2.88E+02,-5.16E+00,1.76E-02,4.47E-03,2.76E-02
17,20220926_165432,1664236472,1664236474,-20,-26.5,100,-1.35,-11.542,7.776,-21.35,-38.042,107.776,-4.37E+01,2.93E+02,-3.19E+00,4.91E-02,5.48E-03,1.77E-01
18,20220926_165442,1664236483,1664236485,-20,-26.5,120,-1.35,-11.542,7.776,-21.35,-38.042,127.776,-2.74E+01,2.95E+02,-1.02E+00,2.05E-02,8.37E-03,5.65E-02
19,20220926_165934,1664236774,1664236776,-40,-26.5,40,-1.35,-11.542,7.776,-41.35,-38.042,47.776,-6.63E+01,2.83E+02,3.05E+00,2.88E-02,5.48E-03,1.19E-02
20,20220926_165945,1664236786,1664236788,-40,-26.5,60,-1.35,-11.542,7.776,-41.35,-38.042,67.776,-6.44E+01,2.86E+02,-8.75E+00,1.36E-02,4.47E-03,1.23E-01
21,20220926_165959,1664236800,1664236802,-40,-26.5,80,-1.35,-11.542,7.776,-41.35,-38.042,87.776,-5.90E+01,2.97E+02,-1.15E+01,9.74E-02,2.07E-02,7.61E-02
22,20220926_170011,1664236811,1664236813,-40,-26.5,100,-1.35,-11.542,7.776,-41.35,-38.042,107.776,-4.68E+01,3.09E+02,-4.03E+00,4.05E-02,1.48E-02,5.83E-02
23,20220926_170020,1664236820,1664236822,-40,-26.5,120,-1.35,-11.542,7.776,-41.35,-38.042,127.776,-2.80E+01,3.14E+02,2.51E+00,5.73E-02,2.07E-02,3.70E-02
24,20220926_170612,1664237172,1664237174,-40,-36.5,40,-1.35,-11.542,7.776,-41.35,-48.042,47.776,-6.72E+01,2.76E+02,8.23E+00,1.28E-01,2.41E-02,2.42E-01
25,20220926_170620,1664237180,1664237182,-40,-36.5,60,-1.35,-11.542,7.776,-41.35,-48.042,67.776,-7.07E+01,2.79E+02,-9.04E+00,3.56E-02,1.22E-02,1.31E-02
26,20220926_170628,1664237188,1664237190,-40,-36.5,80,-1.35,-11.542,7.776,-41.35,-48.042,87.776,-6.77E+01,2.98E+02,-1.76E+01,2.61E-02,0.00E+00,2.87E-02
27,20220926_170635,1664237196,1664237198,-40,-36.5,100,-1.35,-11.542,7.776,-41.35,-48.042,107.776,-5.12E+01,3.14E+02,-6.86E+00,3.94E-02,2.12E-02,7.17E-02
28,20220926_170646,1664237206,1664237208,-40,-36.5,120,-1.35,-11.542,7.776,-41.35,-48.042,127.776,-2.90E+01,3.17E+02,3.56E+00,3.44E-02,8.37E-03,3.40E-02
29,20220926_171142,1664237502,1664237504,-20,-36.5,40,-1.35,-11.542,7.776,-21.35,-48.042,47.776,-6.16E+01,2.79E+02,3.39E+00,6.20E-03,4.47E-03,1.30E-02
30,20220926_171156,1664237517,1664237519,-20,-36.5,80,-1.35,-11.542,7.776,-21.35,-48.042,87.776,-5.91E+01,2.89E+02,-4.72E+00,1.71E-02,4.47E-03,2.77E-02
31,20220926_171209,1664237530,1664237532,-20,-36.5,100,-1.35,-11.542,7.776,-21.35,-48.042,107.776,-4.52E+01,2.95E+02,-1.98E+00,2.85E-02,5.48E-03,2.26E-02
32,20220926_171220,1664237540,1664237542,-20,-36.5,120,-1.35,-11.542,7.776,-21.35,-48.042,127.776,-2.74E+01,2.97E+02,1.61E+00,2.42E-02,8.94E-03,1.58E-02
33,20220926_171403,1664237644,1664237646,0,-36.5,40,-1.35,-11.542,7.776,-1.35,-48.042,47.776,-6.30E+01,2.82E+02,2.31E+00,1.00E-02,0.00E+00,4.44E-02
34,20220926_171415,1664237655,1664237657,0,-36.5,60,-1.35,-11.542,7.776,-1.35,-48.042,67.776,-6.10E+01,2.79E+02,2.11E+00,1.16E-02,4.47E-03,1.86E-02
35,20220926_171425,1664237665,1664237667,0,-36.5,80,-1.35,-11.542,7.776,-1.35,-48.042,87.776,-5.28E+01,2.79E+02,6.72E-01,8.02E-03,0.00E+00,6.98E-03
36,20220926_171437,1664237678,1664237680,0,-36.5,100,-1.35,-11.542,7.776,-1.35,-48.042,107.776,-4.03E+01,2.80E+02,2.72E-01,2.79E-02,4.47E-03,1.04E-01
37,20220926_171452,1664237693,1664237695,0,-36.5,120,-1.35,-11.542,7.776,-1.35,-48.042,127.776,-2.53E+01,2.79E+02,2.81E-01,3.11E-02,0.00E+00,2.15E-02
38,20220926_171858,1664237938,1664237940,20,-36.5,40,-1.35,-11.542,7.776,18.65,-48.042,47.776,-6.21E+01,2.81E+02,1.16E+01,2.65E-02,1.14E-02,1.05E-02
39,20220926_171907,1664237948,1664237950,20,-36.5,60,-1.35,-11.542,7.776,18.65,-48.042,67.776,-5.58E+01,2.72E+02,1.25E+01,8.17E-03,0.00E+00,1.99E-02
40,20220926_171914,1664237955,1664237957,20,-36.5,80,-1.35,-11.542,7.776,18.65,-48.042,87.776,-4.61E+01,2.68E+02,9.07E+00,5.48E-02,7.07E-03,3.94E-02
