index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
0,20220923_153305,1663972385.799046520,1663972388.306275370,40.000000,40.000,40.000,-2.250000,11.367,8.442,37.750000,51.367,48.442,-1.981760E+1,1.696334E+2,-4.765480E+1,8.414274E-3,5.899152E-3,1.771158E-2
1,20220923_153315,1663972395.352350230,1663972397.845623970,40.000000,40.000,80.000,-2.250000,11.367,8.442,37.750000,51.367,88.442,-1.740690E+1,1.793844E+2,-5.285720E+1,2.933794E-2,4.037326E-3,1.080278E-2
2,20220923_153323,1663972403.792188640,1663972405.872725490,40.000000,40.000,120.000,-2.250000,11.367,8.442,37.750000,51.367,128.442,-1.377672E+1,1.904468E+2,-5.251100E+1,1.501156E-2,6.942622E-3,1.701470E-2
3,20220923_153334,1663972414.167476650,1663972416.249947070,40.000000,40.000,160.000,-2.250000,11.367,8.442,37.750000,51.367,168.442,-6.808560E+0,1.989958E+2,-4.709760E+1,2.065207E-2,9.757049E-3,5.649602E-2
4,20220923_153401,1663972441.719424720,1663972444.251851080,40.000000,40.000,200.000,-2.250000,11.367,8.442,37.750000,51.367,208.442,-5.333400E-1,2.031500E+2,-4.110260E+1,3.534513E-2,7.071068E-3,8.349431E-2
5,20220923_153457,1663972497.488755230,1663972500.007999420,0.000000,40.000,40.000,-2.250000,11.367,8.442,-2.250000,51.367,48.442,-2.420580E+1,1.697224E+2,-4.212120E+1,8.043631E-3,1.516575E-3,8.043631E-3
6,20220923_153506,1663972506.184836860,1663972508.265621660,0.000000,40.000,80.000,-2.250000,11.367,8.442,-2.250000,51.367,88.442,-2.207980E+1,1.836742E+2,-4.649460E+1,4.635407E-2,2.570409E-2,1.201553E-1
7,20220923_153513,1663972513.824859140,1663972516.317462440,0.000000,40.000,120.000,-2.250000,11.367,8.442,-2.250000,51.367,128.442,-1.591582E+1,1.964460E+2,-4.664480E+1,1.487303E-2,1.531339E-2,9.465569E-2
8,20220923_153524,1663972524.152746200,1663972526.684710980,0.000000,40.000,160.000,-2.250000,11.367,8.442,-2.250000,51.367,168.442,-8.746920E+0,2.056160E+2,-4.223700E+1,3.735307E-2,5.477226E-3,1.777639E-2
9,20220923_153534,1663972534.716948990,1663972536.798395160,0.000000,40.000,200.000,-2.250000,11.367,8.442,-2.250000,51.367,208.442,-1.853260E+0,2.101740E+2,-3.769960E+1,1.787045E-2,5.477226E-3,4.360390E-2
10,20220923_153712,1663972632.264628890,1663972634.782577510,-40.000000,40.000,40.000,-2.250000,11.367,8.442,-42.250000,51.367,48.442,-3.552820E+1,1.716110E+2,-3.750560E+1,4.664440E-2,1.762101E-2,1.406993E-1
11,20220923_153721,1663972641.433841700,1663972643.514353750,-40.000000,40.000,80.000,-2.250000,11.367,8.442,-42.250000,51.367,88.442,-2.959560E+1,1.900032E+2,-4.208320E+1,4.802395E-2,1.077961E-2,3.934082E-2
12,20220923_153733,1663972653.280774590,1663972655.813665390,-40.000000,40.000,120.000,-2.250000,11.367,8.442,-42.250000,51.367,128.442,-2.228540E+1,2.042940E+2,-4.004300E+1,3.780608E-2,8.944272E-3,5.450688E-2
13,20220923_153743,1663972663.305689810,1663972665.798146250,-40.000000,40.000,160.000,-2.250000,11.367,8.442,-42.250000,51.367,168.442,-1.410112E+1,2.130480E+2,-3.896940E+1,1.179597E-1,1.095445E-2,4.523605E-2
14,20220923_153754,1663972674.742800710,1663972676.823831080,-40.000000,40.000,200.000,-2.250000,11.367,8.442,-42.250000,51.367,208.442,-3.954680E+0,2.180860E+2,-3.493580E+1,4.383394E-1,1.140175E-2,7.220942E-2
15,20220923_155045,1663973445.285509590,1663973447.804502960,-80.000000,40.000,40.000,-2.250000,11.367,8.442,-82.250000,51.367,48.442,-5.300560E+1,1.764420E+2,-3.686300E+1,1.076104E-2,2.863564E-2,7.844425E-2
16,20220923_155055,1663973455.613825800,1663973457.695004940,-80.000000,40.000,80.000,-2.250000,11.367,8.442,-82.250000,51.367,88.442,-4.456420E+1,1.986342E+2,-3.995580E+1,6.720268E-2,5.019960E-3,3.418625E-2
17,20220923_155105,1663973465.341853620,1663973467.874480720,-80.000000,40.000,120.000,-2.250000,11.367,8.442,-82.250000,51.367,128.442,-3.223800E+1,2.142040E+2,-3.819580E+1,4.631954E-2,1.140175E-2,1.791709E-1
18,20220923_155115,1663973475.807028770,1663973477.887375830,-80.000000,40.000,160.000,-2.250000,11.367,8.442,-82.250000,51.367,168.442,-2.205680E+1,2.229100E+2,-3.518400E+1,4.269309E-2,1.000000E-2,3.788799E-2
19,20220923_155125,1663973485.070716860,1663973487.563673500,-80.000000,40.000,200.000,-2.250000,11.367,8.442,-82.250000,51.367,208.442,-1.144232E+1,2.279140E+2,-3.206700E+1,1.862893E-2,2.509980E-2,1.868837E-1
